"Code","Title","About","First Publisher","First Publisher Location","First Publisher Date","Edit Copy Publisher","Edit Copy Publisher Location","Edit Copy Publisher Date","Page Start","Page Stop","DIsplayOrder","Publication Date","Citation","nid"
"MY","""Mule in the Yard""","<p>""Mule in the Yard"" recounts how Mrs. Hait chases one of I.O. Snopes's mules around and around her house one January day until it knocks a kettle of ashes into the basement, catching her house on fire.  Mrs. Hait seeks revenge later that day by swindling Snopes out of the cost of the mule and shooting it.  At stake in the story is more than the contemporary battle of wills, however, as Mrs. Hait's husband previously worked with Snopes in a railroad swindle that cost Mr. Hait his life ten years earlier.  Themes of revenge and ethics are at the forefront of this comedic story.<br />
The exact date of the story is uncertain.  According to Theresa Towner and James B. Carothers in <em>Reading Faulkner: Collected Stories</em>: ""it may have been written in the late winter or early spring of 1933-34. The story was published in August 1934 by <em>Scribner's</em>"" (133), and reprinted in ""The Village"" section of Faulkner's <em>Collected Stories</em>.  This reprinting is the basis for our edition.  The story was also revised and incorporated into Chapter 16 of <em>The Town</em>, where it is narrated by Charles Mallison.  In the latter version Mr. Hait’s death occurred only three years ago, as opposed to ten as the story has it.  While in the <em>Scribner's</em> story the year of the January day is unspecified, in <em>The Town</em>'s version it can be dated more definitively, as it occurs the same year that Eula Varner dies:  1927.</p>
","Scribner's Magazine","","August 1934","Vintage International","New York","1995","249","264","27.00","1934-08","<p>How to cite this resource:<br />Joiner, Jennie J., and Dorette Sobolewski.  ""Faulkner's 'Mule in the Yard.'""  Added to the project: 2014.   Additional editing 2019: Theresa M. Towner, Jay Watson.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","241"
"MGM","""My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek""","<p>Faulkner wrote this story in the late winter, 1942, about four years after the publication of <em>The Unvanquished</em>, a novel made up of seven stories very much like this one: first-person accounts by Bayard Sartoris of his, his Grandmother's and their slaves' lives during the Civil War while his father, Colonel John Sartoris, is away from home fighting.  (Chronologically, the events in ""My Grandmother Millard"" occur just before the earliest of the <em>Unvanquished</em> stories.)  When he sent the story to Harold Ober, his agent in New York, Faulkner noted that <em>The Saturday Evening Post</em> had ""bought five stories about these characters"" back in the mid-1930s, and the <em>Post</em> paid its authors very well.  1942 was also just after the United States had entered into World War II, which explains what Faulkner meant when he told Ober that the story has a ""message for the day,"" about ""indomitableness"" in the face of difficulties.  It is the only story in which Yoknapatawpha is the scene of a ""Battle""; and although that battle doesn't really live up to its name, the story also mentions three other American wars: the Revolution, the Mexican, and the Spanish-American.  The majority of characters who appear or are mentioned in it are in uniform.</p>
<p>Essentially, however, the story is a comedy about romance - and a sendup of stereotypical romantic fictions like the ones Melisandre reads to Bayard and Ringo.  Telling Ober to send it to the <em>Post</em>, Faulkner called it ""a good funny story.""  He worried, however, that that family magazine might reject it ""because of the can motif"" - the various ways in which privies and backhouses figure.  He was right: not only the <em>Post</em>, but seven other magazines rejected it before Ober was finally able to sell it to <em>Story</em> magazine, for $50; it was published there in March, 1943.  Faulkner reprinted it in <em>Collected Stories</em> (1950), and it is that text that provides the basis for our representation.</p>
<p><strong>Dating the Story</strong>: Over half the story takes place on a single day: 28 April 1862, according to General Forrest's official report (697).  Unfortunately, that date cannot be reconciled with the rest of the text.  For example, the story's first sentence says the ritual of burying the silver begins only after ""the Yankees had taken Memphis,"" which did not happen until June, 1862 (667).  And after the burying begins, at least ""eight months"" pass (669) - ""all winter and all summer too"" (671) - before the day of the battle at ""Harrykin Creek"" (697). There are many other discrepancies, including the suggestion that Philip has been in the Confederate army for ""two years,"" even though the Confederacy did not exist in 1860 (680); or that ""Father"" - Colonel Sartoris - loses command of his original regiment and organizes ""his cavalry troop"" in 1861, even though in every other reference to these events in Faulkner's fiction, they happen in 1862 (667).  Most of this could be resolved by pushing Forrest's 1862 date forward a year, but the text gives no reason to suspect that the General does not know what year it is.  Our dating of the story's events takes 28 April 1862 as a definitive point of reference, and works backward and forward from that: the burying begins about eight months earlier, the marriage occurs four days later, and so on.  Bayard is writing the story from at point at least 35 years later, after the Spanish-American War (1898).</p>
","Story Magazine","","March-April 1943","Vintage International","New York","1995","667","699","56.00","1943-03","<p>How to cite this resource:<br />Railton, Stephen, and Dorette Sobolewski.  ""Faulkner's 'My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek.'""  Added to the project: 2017.  Additional editing 2018: Johannes H. Burgers, Theresa M. Towner.   <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","240"
"RL","""Red Leaves""","<p>""Red Leaves"" was the second story Faulkner managed to get published in the <em>Saturday Evening Post</em>, and it appeared in the magazine's October 25, 1930 issue. Faulkner may have begun writing it as early as 1927 or as late as 1929.  He sent it to the <em>Post</em> on July 24, 1930. Faulkner revised the story for <em>These 13</em> (1931), and it next appeared in <em>The Portable Faulkner</em>, edited by Malcolm Cowley (1946).  Faulkner published it in his <em>Collected Stories</em> (1950), where it opened the section entitled ""The Wilderness"" that includes his three other tales about the Indians of Mississippi.  He revised the story one more time, for <em>Big Woods</em> (1955).  ""Red Leaves"" has been frequently anthologized and is widely considered to be one of Faulkner’s finest. In keeping with the editorial practices of the <em>Digital Yoknapatawpha</em> project, our representation of it is based on the <em>Collected Stories</em> version.  </p>
<p>As the earliest written of Faulkner's four ""Indian stories,"" ""Red Leaves"" steps into a previously unexplored corner of Yoknapatawpha County.  In this story the name of the tribe, which in some texts he calls Choctaw and in others Chickasaw, is never given.  It should be said that Faulkner's representation of Native American behavior and customs is very unreliable, though it is historically true that after white settlers brought slaves into the region that became the Deep South, some southern Indian tribes owned slaves.  The tale is also his earliest hard look at slavery, an issue that would come to occupy more of his attention later in the 1930s.</p>
<p><strong>Dating the Story:</strong> It is impossible to reconcile the timeline of the story with either regional history or Faulkner's other fictions about the Indians of Yoknapatawpha.  The text uses two real historical figures to locate the period in which Doom traveled to New Orleans - ""Carondelet"" and ""General Wilkinson"" (318) - both of whom are in the city at the same time as Doom.  Hector de Carondelet was the Spanish Governor of Louisiana from 1791-1797. (Wilkinson could have been there as well during that period, or earlier or later.)  Doom's son Issetibbeha, who is born soon after he returns to his tribe, is specifically ""nineteen"" years old when Doom dies (319).  ""Five years later"" Issetibbeha travels to Paris, returning to the tribe ""a year later"" (320).  He marries after that.  The child of that marriage, Moketubbe, is at least ""twenty-five"" when Issetibbeha gives him the red slippers (321); and Issetibbeha ""lives for five years longer"" before his death sets the plot of ""Red Leaves"" in motion (322).  So it is at least 55 years after Doom's trip, i.e. the early 1850s, when Issetibbeha's slave runs away.  But historically the Indians of northern Mississippi were ""removed"" from the state and relocated in Oklahoma by the mid-1830s.  Given this disparity, we have chosen to follow the intervals provided by the text, choosing ""1794"" as the date of Doom's trip to New Orleans and counting forward from there.  But even so, all our dates are approximate.  (Other events in the story are also problematic when measured against history.  Congress abolished the importation of slaves into the U.S. in 1808, and steamboats did not appear on the Mississippi until after 1811.)</p>
<p><strong>A Note on Race</strong>:  Digital Yoknapatawpha's data fields push the collaborators who are creating the project toward specific choices, no matter how ambiguous Faulkner's prose gets.  ""Red Leaves"" keeps the two races at its center - Indian and black - distinctly apart in many ways, but this is also the first time Faulkner's fiction includes direct references to miscegenation and intermarriage.  It's surely significant that he can imagine mixed-race marriages and children as socially possible in a non-white community.  The way this issue is treated, however, raises more questions than it answers.  The unnamed woman whom Doom impregnates in New Orleans and later marries was originally (in the manuscript of the story) described by the narrator as belonging to ""a well-to-do family (though they had some negro blood)."" When he typed up the manuscript Faulkner deleted the parenthesis, but added the detail that the family was from the West Indies.  He left alone a later passage in which her son, Issetibbeha, thinks about his mother's ""negro blood.""  (You can see both manuscript pages in the story's ""Other Resources: Manuscripts Etc."" section.)  There is no reason to doubt Issetibbeha's reliability, so on that basis the editors identify the woman as MixedBlackWhite, and both her son and his son Moketubbe as MixedIndianWhiteBlack (two of the categories we created for the Character field Race).  Those are interpretive choices based on textual evidence.<br />
The evidence for the race of the woman Issetibbeha himself marries is still less definitive.  What makes him remember his mother and ""her Negro blood"" is his first sight of the ""comely girl"" who will become his wife and Moketubbe's mother (320).  Also unnamed, this woman is working in one of the tribe's melon patches and wearing a ""shift"" (320).  The context (field labor) and the costume (a shift) may signal that the woman herself is one of the tribe's Negro slaves, which might explain why looking at her makes him remember his mother's racial origins.  However, Faulkner's typical practice, in the story and throughout the canon, is to tag non-white characters with an adjective like ""Negro"" to make their non-whiteness visible on the page; here the narrative does not refer to this woman as either a ""Negro"" or a ""slave.""  And the comparison Issetibbeha makes between her and his mother is also a contrast: he remembers his mother as ""the city woman . . . with her fans and laces and her Negro blood"" (321), which clearly distinguishes her from this working woman with ""broad, solid thighs,"" a ""sound back,"" and a hoe rather than a fan in her hand (321).  On the other hand, one of the most famous uses of the adjective that the narrative does use is in the Queen of Sheba's description of herself in the King James Bible as ""black, but comely"" (Song of Solomon 1:5).  Taking all this into account, we have chosen to use the category Black to identify the Race of Issetibbeha's first wife and Moketubbe's mother.<br />
This decision doesn't change Moketubbe's Race in our database - it remains MixedIndianWhiteBlack - but potentially there is a lot at stake in this decision.<br />
Moketubbe is repeatedly described as ""diseased"" with flesh, so obese and lethargic as to be practically comatose (321), mentally and physically unfit to be ""the Man,"" as the Indians refer to the tribe's chief. The future for the Indians under his leadership is not predicted, but it seems clearly doomed.  Is the narrative implying that his pathological condition is the result of two generations of interracial marriage?  The idea that miscegenation would lead to mongrelization and the decline of civilization was widespread in Faulkner's own cultural time and place.  Faulkner's treatment of ""Negro blood"" and miscegenation is a profoundly vexed subject.    Readers of ""Red Leaves"" should ultimately reach their own conclusions about what this early story says or suggests about that theme, and in the process they should feel free to challenge our own interpretive decisions.  This is a good example of how, if digital humanities can help us explore Faulkner's art, Faulkner's art also serves us in turn to interrogate digital humanities.</p>
","Saturday Evening Post","","25 October 1930","Vintage International","New York","1995","313","341","6.00","1930-10-25","<p>How to cite this resource:<br />Burgers, Johannes H., Elizabeth Cornell, and Garrett Morrison.  ""Faulkner's 'Red Leaves.'""  Added to the project: 2013.  Additional editing 2018: Erin Kay Penner, Stephen Railton, Christopher Rieger.   <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","244"
"SNP","""Shall Not Perish""","<p>""Shall Not Perish"" is the second story Faulkner wrote at the start of World War II about the Grier family of Frenchman's Bend.  It is a kind of sequel to the first, ""Two Soldiers,"" in which Pete Grier, the older son, decides to enlist in the Army after the Japanese attack on Pearl Harbor.  ""Shall Not Perish"" begins with the rest of the family learning of Pete's death in the Pacific; like his service, his sacrifice gives Faulkner a patriotic occasion to affirm America's unvanquished courage and resolve.  Both stories are narrated by Pete's unnamed younger brother, though his perspective in the second story seems implausibly adult.  Faulkner took the title from the last line of Lincoln's ""Gettysburg Address,"" a source that suggests how ""Shall Not Perish"" dramatizes the nation's need and ability to transcend divisive categories like Yankee and Confederate in order to unite in the face of an external enemy.  Class divisions are similarly healed when the poor mother of the first son of Yoknapatawpha to die in the war shares her grief with the rich father of the second casualty.<br />
After being rejected by eight other magazines, ""Shall Not Perish"" was finally published in the July-August 1943 ""War Story Issue"" of <em>Story</em> magazine, which paid Faulkner $25 for it.  By that time his third and last story about the Griers, ""Shingles for the Lord,"" had already been published.  As a ""trilogy"" of sorts, these tales about a Frenchman's Bend family can be contrasted in interesting ways with the Snopes trilogy; the first novel of that trilogy, <em>The Hamlet</em>, appeared in 1940.</p>
","Story Magazine","","July-August 1943","Vintage International","New York","1995","101","115","57.00","1943-07","<p>How to cite this resource:<br />Chancellor, Scott T., and Stephen Railton.  ""Faulkner's 'Shall Not Perish.'""  Added to the project: 2014.  Additional editing 2020: Theresa M. Towner; 2022: Christopher Rieger.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","247"
"SL","""Shingles for the Lord""","<p>Faulkner wrote ""Shingles for the Lord"" early in summer 1942; his agent, Harold Ober, received it on July 17.  <em>The Saturday Evening Post</em> published it, with minor editorial revisions, on 13 February 1943.  In 1948, Robert K. Haas proposed to Faulkner the publication of a volume of collected stories, an idea that Faulkner initially resisted as premature.  Upon reflection and perusal of Haas' suggested titles, Faulkner embraced the idea and organized the volume by geographical units, with ""Shingles for the Lord"" second in the opening section, following ""Barn Burning.""  The story was included in <em>The Faulkner Reader</em> (1954), and Faulkner cited it specifically when he praised his editors for encouraging the <em>Collected Stories</em> volume:  ""the stuff stands up amazingly well after a few years. . . I spent a whole evening laughing to myself about the mules and shingles.""  An exact date for the story is impossible to determine, but the absence of reference to United States involvement in World War II suggests a pre-Pearl Harbor time frame; the Works Progress Administration came to Mississippi circa 1936. The full rain barrel and temperate weather suggest late spring.  Faulkner published two other stories about the Grier family of Frenchman’s Bend, ""Two Soldiers"" (1942) and ""Shall Not Perish"" (1943).  All three are narrated by the unnamed Grier son, but the perspectives are slightly different.  The point of view in ""Two Soldiers"" is that of a nine-year-old boy. ""Shingles"" and ""Shall Not Perish"" have a much-older narrator recounting a significant episode in his past; the 1943 story features the narrator’s relationship with his mother, told elegiacally, and ""Shingles"" features his relationship with his father, told to great comic effect.</p>
","Saturday Evening Post","","February 13, 1943","Vintage International","New York","1995","27","43","55.00","1943-02-13","<p>How to cite this resource:<br />Carothers, James B., and Theresa M. Towner.  ""Faulkner's 'Shingles for the Lord.'""  Added to the project: 2013.  Additional editing 2019: Ben Robbins, Lorie Watkins. <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","246"
"SH","""Spotted Horses""","<p>The composition history of ""Spotted Horses"" is complex and a bit elusive.  The account of the horse auction forms the bulk of the uncompleted ""Father Abraham"" manuscript; written in late 1926 or early 1927, this was Faulkner's earliest representation of Yoknapatawpha and its inhabitants.  Over the next four years he rewrote the tale several times, from several different narrative points of view, and submitted it to magazines under several different titles, including ""As I Lay Dying"" and ""Aria Con Amore.""  Early in 1931 <em>Scribner's Magazine</em> accepted it, but wanted a new title.  As ""Spotted Horses"" it appeared in their June 1931 issue.</p>
<p>The story's publication history is much simpler.  The tale Faulkner had set out to tell in ""Father Abraham,"" the narrative of Flem Snopes' rise from sharecropper's son to bank president, became the Snopes trilogy, and the story of the auction, expanded and revised, appears in Book 5, Chapter 1, of the first novel in that trilogy: <em>The Hamlet</em> (1940).  When Faulkner collected his short fiction for <em>Collected Stories</em> (1950), he chose not to include the magazine version of ""Spotted Horses.""  Joseph Blotner reprinted that in his 1979 <em>William Faulkner: The Uncollected Stories</em>, and that text provides the basis for our digital representation.</p>
","Scribner's Magazine","","June 1931","Vintage International","New York","1997","165","183","12.00","1931-06","<p>How to cite this resource:<br />Dye, Dotty, and Stephen Railton.  ""Faulkner's 'Spotted Horses.'""  Added to the project: 2014.   Additional editing 2019: Lorie Watkins, Stephen Railton.   <em></em>  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","245"
"TES","""That Evening Sun""","<p>""That Evening Sun"" is a short story first published under the title ""That Evening Sun Go Down"" in March 1931 in the <em>American Mercury</em> magazine. The title is taken from the song  ""St. Louis Blues,"" composed by W.C. Handy in 1914 and popularized by Bessie Smith and Louis Armstrong in 1927. There are four different versions of the story: a six-page early draft, possibly begun sometime between 1927-1929, titled ""Never Done No Weeping When You Wanted to Laugh"" (posthumously published in <em>Mississippi Quarterly</em> in 1983); the typescript of ""That Evening Sun Go Down,"" which Faulkner sent to H.L. Mencken for editing and revision and which was published under the title ""That Evening Sun Go Down"" in Mencken's <em>American Mercury</em>; and a later revision published under the title ""That Evening Sun"" in the 1931 collection <em>These 13</em>. This version is essentially identical to the final form that appears in <em>The Collected Stories</em> (1977), which provides the source for our representation.<br />
There is a problem with the larger chronology of this story's narrator, Quentin Compson, because he commits suicide in 1910 in <em>The Sound and the Fury</em> (1929). It is not clear how he can be alive and, as the first paragraph of ""That Evening Sun"" indicates, looking back 15 years from the 1920s. While Faulkner added the first paragraph of the story for the <em>American Mercury</em>, evidence suggests that he conceived of and even began ""That Evening Sun"" before writing <em>The Sound and the Fury</em>.</p>
","American Mercury","","March 1931","Vintage International","New York","1995","289","309","9.00","1931-03","<p>How to cite this resource:<br />Knepper, Steven, Cheryl Lester, and Julie Napolin. ""Faulkner's 'That Evening Sun.'""   Added to the project: 2014.  Additional editing 2018: Johannes H. Burgers, Theresa M. Towner.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","248"
"OLD","""The Old People""","<p>The first published version of “The Old People,” for which Faulkner received $400, appeared in the September 1940 issue of <em>Harper’s Magazine</em>. His extensively revised version of the story is best known to Faulkner readers as part of <em>Go Down, Moses</em>,  which was published in 1942. In the original 1940 text, the boy at the center of the story is never named.  Faulkner might very well have originally planned for him to be Quentin Compson. According to Joseph Blotner, the typescript of ""The Old People"" identifies the boy's father explicitly as ""Mr Compson."" On the other hand, in the <em>Go Down, Moses</em> version of “The Old People,” the boy is Ike McCaslin.  In the <em>Harper's</em> text Ike actually appears, but as minor character, a member of the hunting party, and a grown man who is referred to as ""Uncle"" Ike.  There is also a problem with Faulkner’s construction of Sam in the 1940 text as his paternity is ambiguous. Near the beginning of one paragraph, the narrator says that Sam is the grandson of Chickasaw Indian Chief Ikkemotubbe, but near the end of the same paragraph the narrator implies that Ikkemotubbe is Sam’s father. However, the chronology of events only makes it possible for Ikkemotubbe to be Sam’s grandfather (Sam is 70 in the present tense of the story, but Ikkemotubbe’s son is said to have been a child 100 years ago.) Faulkner clears up the ambiguity when he revised the story for <em>Go Down, Moses</em> version of “The Old People,” by identifying Ikkemotubbe as Sam’s biological father. The 1940 <em>Harper’s Magazine</em> version of “The Old People” was reprinted in the <em>Uncollected Stories of William Faulkner</em>.  That text is the basis for our edition.</p>
<p><strong>Dating the Story</strong>: In <em>Go Down, Moses</em> the story takes place in the time frame of the larger saga of the McCaslin family, where Ike is born just after the Civil War.  In this earlier version, however, there is no explicit indication of when the hunt takes place.  We have decided to date it in 1904 because the story takes place 100 years after Ikkemotubbe returns to Mississippi around 1804, having spent seven years in New Orleans, at which point he sells Sam's grandmother and child and an adult male slave to the unnamed narrator’s great-grandfather. This 1904 time frame, however, is at odds with Faulkner’s representation of the boy hunter and Sam Fathers in another story, the first published version of “The Bear,” where the boy and Sam are paired together for another hunt that occurs <em>after</em> the boy has killed his first buck, as depicted in ""The Old People,"" yet at an <em>earlier</em> time, as internal evidence clearly implies.  Presumably this inconsistency reflects the way Faulkner is re-imagining the boy as Ike rather than Quentin (the 1904 date works well with Quentin Compson's  known biography).</p>
<p><strong>References</strong>: Blotner, Joseph, <em>Faulkner: A Biography</em> (Random House, 1974);  Fragnoli, A. Nicholas, Michael Golay, and Robert W. Hamlin, <em>Critical Companion to William Faulkner: A Literary Response to His Life and Work</em> (Facts on File, 2008).</p>
","Harper's Magazine","","September 1940","Vintage International","New York","1997","201","212","45.00","1940-09","<p>How to cite this resource:<br />Coleman, Robert, and Ben Robbins.  ""Faulkner's 'The Old People.'""  Added to the project: 2014.  Additional editing 2018: Lorie Watkins, and Stephen Railton. <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","242"
"TM","""The Tall Men""","<p>William Faulkner wrote ""The Tall Men"" in early 1941 with a clear financial imperative to pay off owed back taxes.  He gauged the market correctly; the story sold in less than a week to <em>The Saturday Evening Post</em>, where it was published on May 31, 1941, only ten weeks after Faulkner sent it to his agent, Harold Ober.  He later included it as the third story in the ""Country"" section of his <em>Collected Stories</em>, and this version, as published by Vintage International, provides the basis for our representation of the story.  Although its events could be set during 1941, given the historical and publication framework 1940 seems a far more likely date.</p>
<p>The story’s commercial success was in part due to its contemporary relevance. It appeared after two key events that inform the narrative.  In 1933, Franklin Delano Roosevelt's Hundred Days Congress enacted the Agricultural Adjustment Act to regulate farm surpluses, and on September 16, 1940, the first peacetime draft was enacted, requiring all men between 21 and 35 to register with local draft boards.  ""The Tall Men"" conjoins these two events in the McCallum family's unwillingness to be governed by either one of these federal rules.   Although the United States didn't enter World War II until December 7, 1941, it loomed large in the minds of the public and Faulkner's timely story found a receptive audience.  In appealing to this audience, Faulkner revives the MacCullum family from <em>Flags in the Dust</em> as the McCallum family, two decades later.  In doing so, he taps into the historically independent spirit of the Scotch-Irish settlers of old who came to America in search of freedom from arguably the same sort of oppression that the current generation resists.  Still, the story seems to celebrate traditional values of courage and patriotism as Marshal Gombault ""interprets"" these oddly independent people so that the draft board investigator, Mr. Pearson, can understand the purity of their motives.  Although critics in turn praise and criticize the McCallum family's values and the story's patriotic themes, in the end ""The Tall Men"" is almost universally dismissed by critics as didactic in tone and lacking in subtly and substance.</p>
","The Saturday Evening Post","","May 31, 1941","Vintage International","New York","1995","45","61","50.00","1941-05-31","<p>How to cite this resource:<br />Railton, Stephen, and Lorie Watkins.  ""Faulkner's 'The Tall Men.'""  Added to the project: 2016.  Additional editing 2019: Johannes Burgers, Erin Penner. <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","249"
"TWQ","""There Was a Queen""","<p>In some respects ""There Was a Queen"" is a kind of valedictory on the two old Yoknapatawpha families who were at the center of two of Faulkner's first four novels.   In <em>Flags in the Dust</em> (1929) Bayard Sartoris marries Narcissa Benbow.  The focus of <em>Sanctuary</em> (1931) is on Narcissa's brother Horace, also a major character in the first novel, but Narcissa and Jenny Du Pre (the central characters in this story) play prominent roles.  Taking place a decade after the end of <em>Flags</em>, ""There Was a Queen"" describes how Narcissa preserves her reputation and how that proves too much for Aunt Jenny, who had long been the guardian of the Sartoris legacy.  There is a next generation - Bayard and Narcissa's son Benbow Sartoris was born at the end of <em>Flags</em>, but Faulkner never picks up his story again.  On the other hand, in the mid-1930s he does re-open the Sartoris saga in the other direction, writing <em>The Unvanquished</em> stories about the family during the Civil War and Reconstruction.</p>
<p>Beginning in 1929, Faulkner wrote at least three different versions of the story, including one titled ""An Empress Passed.""  Under its final title it was published in <em>Scribner's</em> magazine in January 1933.  Faulkner republished it twice, without further revision: in <em>Dr. Martino and Other Stories</em> (1934) and <em>Collected Stories</em> (1950).  This latter version is the basis for our edition.</p>
<p><strong>Dating the Story</strong>: Exactly how long this story takes place after the events in <em>Flags</em> is unclear, because of the inconsistencies in its chronological references.  At the start Elnora remembers that ""ten years ago"" old Bayard (who in the earlier text dies at the end of 1919) was alive (727), and the narrator refers to Benbow (who in the earlier text was born in the spring of 1920) as a ""ten-year-old boy"" (728); these references date the story in 1929 or 1930.  Jenny says that the jasmine she brought ""to Mississippi in '69"" (728)  has been blooming in the garden ""for fifty-seven years this summer"" (738) -  which would put 'this summer' in 1927.  Narcissa tells Jenny that she showed her one of the anonymous letters ""thirteen years ago . . . Before Bayard came back from France"" (739), and uses the phrase ""twelve years ago"" three different times: to refer to Benbow's birth, the time that has passed since the letters disappeared, and the time the ""Federal agent"" has had possession of them (740); her references make the current year 1932.  Our decision to date the story's events in June, 1930, takes the average of these.</p>
","Scribner's Magazine","","January 1933","Vintage International","New York","1995","727","744","22.00","1933-01","<p>How to cite this resource:<br />Railton, Stephen, and Dorette Sobolewski.  ""Faulkner's 'There Was a Queen.'""  Added to the project: 2013.  Additional editing 2019: Jennie J. Joiner, Christopher Rieger.   <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","250"
"W","""Wash""","<p>This critically acclaimed short story was first purchased for $350 by <em>Harper’s Magazine</em> on 2 November 1933 and subsequently published in February 1934. Later that same year, “Wash” was republished in Faulkner’s short story collection, <em>Dr. Martino and Other Stories</em>. The next year Faulkner revised and interpolated parts of “Wash” into the novel he was writing, <em>Absalom, Absalom!</em>, which was published in 1936. The short story has been republished several times since its initial appearance in <em>Harper’s</em>.  It appears in Viking Press’s influential 1946 volume, <em>The Portable Faulkner</em>, edited by Malcolm Cowley. In 1950 Random House included “Wash” in <em>The Collected Stories of William Faulkner</em>, and in the same year, the Book Society published <em>The Indispensable Faulkner</em>, which is identical with Cowley’s <em>Portable Faulkner</em>. In 1954, Random House again published “Wash” in <em>The Faulkner Reader: Selections from the Works of William Faulkner</em>, and in the same year Random House also included “Wash” in its Modern Library’s imprint of <em>The Faulkner Reader: Selections from the Works of William Faulkner</em>. More recently, in 1995, Vintage International republished “Wash” in <em>The Collected Stories of William Faulkner</em>. Our <em>Digital Yoknapatawpha</em> representation refers to the version of the story published in the latter volume.</p>
<p>References: Joseph Blotner, <em>Faulkner: A Biography</em> (Random House, 1974); A. Nicholas Fragnoli, Michael Golay, and Robert W. Hamlin, <em>Critical Companion to William Faulkner: A Literary Response to His Life and Work</em> (Facts on File, 2008).</p>
","Harper's Magazine","","November 1933","Vintage International","New York","1985","535","550","24.00","1934-02","<p>How to cite this resource:<br />Denton, Ren, Robert Coleman, and Taylor Hagood.  ""Faulkner's 'Wash.'""  Added to the project: 2013.  Additional editing 2019: Johannes Burgers, Erin Penner.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","251"
